"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"居室の用語の定義
居○○、
執○○、
作○○、
集○○、
娯○○、
その他これらに類する目的のために継続的に使用する室","居室の用語の定義
居住、
執務、
作業、
集会、
娯楽、
その他これらに類する目的のために継続的に使用する室"
"居室として取り扱わない室
納○○、
ト○○、
浴○○、
廊○○、
倉○○、
更○○、
機○○、
車○○、
玄○○、
住宅のキ○○","居室として取り扱わない室
納戸、
トイレ、
浴室、
廊下、
倉庫、
更衣室、
機械室、
車庫、
玄関ホール、
住宅のキッチン"
"非居室と間違われやすい居室
旅館などの大○○、
レストランなどの厨○○","非居室と間違われやすい居室
旅館などの大浴場、
レストランなどの厨房"
"主要構造部：法○○条○○号
か○○、
は○○、
ゆ○○、
は○○、
屋○○、
階○○","主要構造部：法2条五号
壁、
柱、
床、
梁、
屋根、
階段（not屋外階段)"
"主要構造部じゃないもの
防火構造上重要でない間○○、
間○○、
最下階のゆ○○、
小○○、
土○○、
基○○、
など","主要構造部じゃないもの
防火構造上重要でない間仕切り壁、
間柱、
最下階の床、
小梁、
土台、
基礎、
など"
"特定主要構造部
※なにに使われるか：耐火建築物について、耐火構造にするべきものを指定する時に出てくる。（耐火構造にする部分が減るので、緩和されてる感じ。）
※この緩和を使わない場合は、特定主要構造部=主要構造部と考えて良い！
※試験には出ないと思うけど、法令集に出てくるので書いておく。","特定主要構造部
※なにに使われるか：耐火建築物について、耐火構造にするべきものを指定する時に出てくる。（耐火構造にする部分が減るので、緩和されてる感じ。）
※この緩和を使わない場合は、特定主要構造部=主要構造部と考えて良い！
※試験には出ないと思うけど、法令集に出てくるので書いておく。"
"構造耐力上主要な部分：令○○条○○号
基○○、
基○○、
か○○、
は○○、
土○○、
小○○、
斜○○（筋○○、火○○など）、
床○○、
屋○○、
横○○（梁、桁など）","構造耐力上主要な部分：令1条三号
基礎、
基礎杭、
壁、
柱、
土台、
小屋組、
斜材（筋かい、火打材など）、
床版、
屋根版、
横架材（梁、桁など）"
"建築の定義：法○○条○○号
新○○、
増○○、
改○○、
移○○
※改築は、建物除去して、ほぼ同じ構造の建物を建築すること。","建築の定義：（法2条十三号）
新築、
増築、
改築、
移転
※改築は、建物除去して、ほぼ同じ構造の建物を建築すること。"
"大規模の修○○の定義：法○○条○○号
主要構造部の○○種以上について、過○○の修繕","大規模の修繕の定義：（法2条十四号)
主要構造部の1種以上について、過半の修繕"
"大規模の模○○の定義：法○○条○○号
主要構造部の○○種以上について、 過半の模○○","大規模の模様替えの定義：（法2条十五号）
主要構造部の1種以上について、 過半の模様替え"
"地階の定義（令○○条○○号）
床面から地○○の高さ：天井高さの1/○○以上","地階の定義（令1条二号）
床面から地盤面の高さ：天井高さの1/3以上"
"設計者の定義：法○○条○○号
設計者とは、その者の責任において設○○図書を作成した者をいう","設計者の定義：法2条十七号
設計者とは、その者の責任において設計図書を作成した者をいう"
"工事監理者の定義：建築士法○○条○○項の○○
工事監理者とは、その者の責任において工事を設○○図書と照合し、
設計図書のとおりに実施されているか確認する者をいう。","工事監理者の定義：建築士法2条1項の8
工事監理者とは、その者の責任において工事を設計図書と照合し、
設計図書のとおりに実施されているか確認する者をいう。"
"工事施工者の定義：法○○条○○号
工事の請負人、又は、または、請負契約によらず自○○工事する者","工事施工者の定義：法2条十八号
工事の請負人、又は、または、請負契約によらず自ら工事する者"
"建築主の定義：法○○条○○号
建築主：請負契約の注○○者、または、請負契約によらず自○○工事する者","建築主の定義：法2条十六号
建築主：請負契約の注文者、または、請負契約によらず自ら工事する者"
"設計図書の定義：法○○条○○号
建築物や、法88条1項～3項に規定される工作物の図面、仕様書
ただし、現○○図その他これに類するものを除く

工作物で下記のものは、設計図書に含む：法88条2項
①高さが○○mを超える擁壁（ようへき）
②高さが○○mを超える広告塔
③高さが○○mを超える煙突
④高さが○○mを超える高架水槽
⑤高さが○○mを超える鉄柱 など","設計図書の定義：法2条十二号
建築物や、法88条1項～3項に規定される工作物の図面、仕様書
ただし、現寸図その他これに類するものを除く

工作物で下記のものは、設計図書に含む：法88条2項
①高さが2mを超える擁壁（ようへき）
②高さが4mを超える広告塔
③高さが6mを超える煙突
④高さが8mを超える高架水槽
⑤高さが15mを超える鉄柱 など"
【用語の定義②】,【用語の定義②】
"延焼のおそれのある部分の定義：法○○条○○号
①隣○○線、道○○線から1階は○○m以下、2階以上は○○m以下
②敷地内2棟以上の場合、建築物相互の外○○間の中心線から1階は○○m以下、2階以上は○○m以下","延焼のおそれのある部分の定義：法2条六号
①隣地境界線、道路中心線から1階は3m以下、2階以上は5m以下
②敷地内2棟以上の場合、建築物相互の外壁間の中心線から1階は3m以下、2階以上は5m以下"
"避難階の定義：令○○条○○号
直接地○○へ通ずる出○○のある階
（普通は1階、ただ高低差などがあったら2階などもあり得る。notバルコニー、notヘリポート）","避難階の定義：令13条一号
直接地上へ通ずる出入口のある階
（普通は1階、ただ高低差などがあったら2階などもあり得る。notバルコニー、notヘリポート）"
"防火設備の定義：
防○○、
ド○○等、
・告示仕様（告示1369号にもとづいて製作されたもの）、又は、
・大臣認定品（認定番号はEA-○○○○）
遮炎性能：○○分間
（※細かい遮炎性能は法令集参照。）","防火設備の定義：
防火戸、
ドレンチャー等、
国土交通大臣が定めた構造方法を用いる、又は、大臣認定品
遮炎性能：20分間
（※細かい遮炎性能は法令集参照。）"
"特定防火設備の定義：令○○条1項
防○○設備のうち、より高性能なもの
・告示仕様（告示1369号にもとづいて製作されたもの）、又は、
・大臣認定品（認定番号はEA-○○○○）
遮炎性能：○○時間","特定防火設備の定義：令112条1項
防火設備のうち、より高性能なもの
・告示仕様（告示1369号にもとづいて製作されたもの）、又は、
・大臣認定品（認定番号はEA-○○○○）
遮炎性能：1時間"
"20分間防火設備（いわゆる片面防火設備）の定義：令○○条の十四号
防火設備は両面防火性能が必要だが、これは、片面（建物外側）のみ、防火性能があれば良い。
当該建物の周囲の火災に対して有効な設備！
遮炎性能：○○分間
（※細かい遮炎性能は法令集参照。）","20分間防火設備（いわゆる片面防火設備）の定義：令137条の十四号
防火設備は両面防火性能が必要だが、これは、片面（建物外側）のみ、防火性能があれば良い。
当該建物の周囲の火災に対して有効な設備！
遮炎性能：20分間
（※細かい遮炎性能は法令集参照。）"
"特定防火設備の遮煙性能：
遮煙性能は、特定防火設備とは関係無し。なので、別途告示で下記を規定。
一号扉　遮煙性能○○。令○○条○○項一号のイ～二の要件を満たすもの（告示2563号）
二号扉　遮煙性能○○。令○○条○○項二号のイ、ロの要件を満たすもの（告示2564号）","遮煙性能の定義：
遮煙性能は、特定防火設備とは関係無し。なので、別途告示で下記を規定。
一号扉　遮煙性能無し。令112条19項一号のイ～二の要件を満たすもの（告示2563号）
二号扉　遮煙性能有り。令112条19項二号のイ、ロの要件を満たすもの（告示2564号）"
"耐火、防火性能の種類
耐火性能：法○○条○○号、令○○条
・火災の種類：○○の火災。
・性能の目的：倒○○、及び、延焼の○○。
・対象部位：主要○○部。","耐火、防火性能の種類
耐火性能：法2条七号、令107条
・火災の種類：通常の火災。
・性能の目的：倒壊、及び、延焼の防止。
・対象部位：主要構造部。"
"耐火、防火性能の種類
準耐火性能：法○○条○○号の○○、令○○条の2
・火災の種類：○○の火災。
・性能の目的：延焼の抑○○。
・対象部位：主要○○部。","耐火、防火性能の種類
準耐火性能：法2条七号の2、令107条の2
・火災の種類：通常の火災。
・性能の目的：延焼の抑制。
・対象部位：主要構造部。"
"耐火、防火性能の種類
防火性能：法○○条、令○○条
・火災の種類：建築物の○○において発生する通常の火災
・性能の目的：延焼の抑○○。
・対象部位：外○○、軒○○。","耐火、防火性能の種類
防火性能：法2条、令108条
・火災の種類：建築物の周囲において発生する通常の火災
・性能の目的：延焼の抑制。
・対象部位：外壁、軒裏。"
"耐火、防火性能の種類
準防火性能：法○○条
・火災の種類：建築物の○○において発生する通常の火災
・性能の目的：延焼の抑○○に一定の効○○。
・対象部位：外○○。","耐火、防火性能の種類
準防火性能：法23条
・火災の種類：建築物の周囲において発生する通常の火災
・性能の目的：延焼の抑制に一定の効果。
・対象部位：外壁。"
"耐火構造、準耐火構造：法○○条1項
・耐火構造
①政令第107条に適合する国土交通大臣が定めた構造方法にする（告示1399号）
②政令第107条に適合する国土交通大臣の認定を受けたものする

・準耐火構造
①政令第107条の2に適合する国土交通大臣が定めた構造方法にする（告示1359号）
②政令第107条の2に適合する国土交通大臣の認定を受けたものする","耐火構造、準耐火構造：法2条1項
・耐火構造
①政令第107条に適合する国土交通大臣が定めた構造方法にする（告示1399号）
②政令第107条に適合する国土交通大臣の認定を受けたものする

・準耐火構造
①政令第107条の2に適合する国土交通大臣が定めた構造方法にする（告示1359号）
②政令第107条の2に適合する国土交通大臣の認定を受けたものする"
"不燃材料/準不燃材料/難燃材料の不燃性能

性能要件
①燃○○しない
②防火上有害な損○○を生じない
③避難上有害なけ○○又はガ○○を発生しない（外部○○は除く）※「外部仕上は除く」が試験に出やすい。","不燃材料/準不燃材料/難燃材料の不燃性能

性能要件
①燃焼しない
②防火上有害な損傷を生じない
③避難上有害な煙又はガスを発生しない（外部仕上は除く）
※：「外部仕上は除く」が試験に出やすい。"
"不燃材料/準不燃材料/難燃材料の不燃性能

時間要件
①不燃材料：○○分
②準不燃材料：○○分
③難燃材料：○○分","不燃材料/準不燃材料/難燃材料の不燃性能

時間要件
①不燃材料：20分
②準不燃材料：10分
③難燃材料：5分"
"耐火建築物の定義：法○○条○○号の○○
・主要構造部：①耐○○構造、②耐○○検証法で確かめられたもの、③大○○認定を受けたもの
・外壁の開口部で延焼の恐れのある部分：屋○○の火災+周○○の火災が終了するまで耐えること。

イ-1準耐火建築物（1時間以上）の定義：法○○条○○号の○○
・主要構造部：イ○○構造（告示195号）
・外壁の開口部で延焼の恐れのある部分：屋○○の火災+周○○の火災が終了するまで耐えること。（耐火建築物と同じ）

イ-2準耐火建築物の定義（45分間以上）：法○○条○○号の○○
・主要構造部：イ○○構造
・外壁の開口部で延焼の恐れのある部分：屋○○の火災+周○○の火災が終了するまで耐えること。（耐火建築物と同じ）

ロ-1準耐火建築物の定義：法○○条○○号の○○
・主要構造部：ロ-1○○構造
・外壁の開口部で延焼の恐れのある部分：屋○○の火災+周○○の火災が終了するまで耐えること。（耐火建築物と同じ）

ロ-2準耐火建築物の定義：法○○条○○号の○○
・主要構造部：ロ-2○○構造
・外壁の開口部で延焼の恐れのある部分：屋○○の火災+周○○の火災が終了するまで耐えること。（耐火建築物と同じ）","耐火建築物の定義：法2条九号の2
・主要構造部：①耐火構造、②耐火性能検証法で確かめられたもの、③大臣認定を受けたもの
・外壁の開口部で延焼の恐れのある部分：屋内の火災+周囲の火災が終了するまで耐えること。

イ-1準耐火建築物（1時間以上）の定義：法2条九号の3
・主要構造部：イ1時間準耐火構造（告示195号）
・外壁の開口部で延焼の恐れのある部分：屋内の火災+周囲の火災が終了するまで耐えること。（耐火建築物と同じ）

イ-2準耐火建築物の定義（45分間以上）：法2条九号の3
・主要構造部：イ45分間準耐火構造（法2条七号の2)
・外壁の開口部で延焼の恐れのある部分：屋内の火災+周囲の火災が終了するまで耐えること。（耐火建築物と同じ）

ロ-1準耐火建築物の定義：法2条九号の3
・主要構造部：ロ-1準耐火構造
・外壁の開口部で延焼の恐れのある部分：屋内の火災+周囲の火災が終了するまで耐えること。（耐火建築物と同じ）

ロ-2準耐火建築物の定義：法2条九号の3
・主要構造部：ロ-2準耐火構造
・外壁の開口部で延焼の恐れのある部分：屋内の火災+周囲の火災が終了するまで耐えること。（耐火建築物と同じ）"
"耐火建築物「等」の定義：令110条
主要構造部について以下２つのいずれかに該当する建築物
①特○○時間火災に耐えられる建築物（一号） + 延焼ライン等に防火設備
又は
②耐○○建築物（二号）","耐火建築物「等」の定義：令110条
主要構造部について以下２つのいずれかに該当する建築物
①特定避難時間火災に耐えられる建築物（一号） + 延焼ライン等に防火設備※
又は
②耐火建築物（二号）"
"耐水材料（令1条四号）
レ○○、
石、
人○○、
コ○○、
ア○○、
陶○○、
ガ○○、
その他これらに類する耐水性の建築材料","耐水材料（令1条四号）
レンガ、
石、
人造石、
コンクリート、
アスファルト、
陶磁器、
ガラス、
その他これらに類する耐水性の建築材料"
【003面積・高さ等の算定】,【003面積・高さ等の算定】
■敷地面積,■敷地面積
"敷地面積に算入しない部分
・前面道路から後○○して壁面線の指定がある場合の、該当部分（法42条2項道路等）
・敷地内に計○○がある場合の、該当部分","敷地面積に算入しない部分
・前面道路から後退して壁面線の指定がある場合の、該当部分
・敷地内に計画道路がある場合の、該当部分"
"みなし道路：
法42条2項・3項・5項幅員○○m未満の道で、特定行政庁の指定したもの","みなし道路：
法42条2項・3項・5項幅員4m未満の道で、特定行政庁の指定したもの"
"法42条2項道路に接する敷地の敷地面積：
道路の中心線からの水平距離○○mの線を道路境界線とみなす。
（道路が）がけ地、川等に沿う場合は、がけ地等の境界線から水平距離○○mの線をその境界線とみなす。","法42条2項道路に接する敷地の敷地面積：
道路の中心線からの水平距離2mの線を道路境界線とみなす。
（道路が）がけ地、川等に沿う場合は、がけ地等の境界線から水平距離4mの線をその境界線とみなす。"
"3項道路：
やむを得ない場合、
道路中心線からの水平距離を○○m未満、○○m以上の範囲で
道路境界線とみなされる線を指定することができる。","3項道路：
やむを得ない場合、
道路中心線からの水平距離を2m未満、1.35m以上の範囲で
道路境界線とみなされる線を指定することができる。"
■建築面積,■建築面積
"建築面積：令○○条○○項○○号
建築物の外○○またはこれに代わるは○○の中心線で囲まれた部分の水○○面積
(2階の方が床面積が大きければ2階が適用。ピロティは関係無し）

ただし下記のものは除外
①地階で地盤面○○m以下にある部分（床とか天井とか関係なく、なんでも地盤面から出てるもの）
②軒、庇、はね出し縁、バルコニーなどで、外壁の中心線から水平距離○○m以上突き出たものは、その先端から○○m後退した線
③国土交通省大臣が高い開放性を有すると認めて指定するものは、その端から水平距離○○m以内の部分","建築面積：令2条1項二号
建築物の外壁またはこれに代わる柱の中心線で囲まれた部分の水平投影面積
(2階の方が床面積が大きければ2階が適用。ピロティは関係無し）

ただし下記のものは除外
①地階で地盤面1m以下にある部分（床とか天井とか関係なく、なんでも地盤面から出てるもの）
②軒、庇、はね出し縁、バルコニーなどで、外壁の中心線から水平距離1m以上突き出たものは、その先端から1m後退した線
③国土交通省大臣が高い開放性を有すると認めて指定するものは、その端から水平距離1m以内の部分"
"・特例軒など：
工場、倉庫等での貨物の積み下ろし等専用軒など、大臣が定める軒など。
建築面積から、外壁・柱の中心線から突出距離が○○m以上○○m未満を除外","・特例軒など：
工場、倉庫等での貨物の積み下ろし等専用軒など、大臣が定める軒など。
建築面積から、外壁・柱の中心線から突出距離が1m以上5m未満を除外"
■床面積、延べ面積,■床面積、延べ面積
"床面積：
建築物の各階又はその一部で壁その他区画の中心線で囲まれた部分の水平投影面積","床面積：
建築物の各階又はその一部で壁その他区画の中心線で囲まれた部分の水平投影面積"
"延べ面積：
各階の床面積の合計","延べ面積：
各階の床面積の合計"
"容積率算定の場合の延べ面積での不算入の部分：法○○条
・住○○および老○○等の、地○○で天○○高さが地盤面+1m以下の部分の○○
・共○○宅・老○○等の共用廊下、階段部分の○○
・エ○○の昇○○部分の全部

容積率算定の場合の延べ面積での不算入の部分：（令○○条○○項）
・自動車車庫は、延べ面積の○○
・防災用備蓄倉庫は、延べ面積の○○
・蓄電池設備の設置部分は、延べ面積の○○
・自家発電設備の設置部分は、延べ面積の○○
・貯水槽の設置部分は、延べ面積の○○
・宅配ボックス設置部分は、延べ面積の○○","容積率算定の場合の延べ面積での不算入の部分：法52条
・住宅および老人ホーム等の、地階で天井高さが地盤面+1m以下の部分の1/3
・共同住宅・老人ホーム等の共用廊下、階段部分の全部
・エレベーターの昇降路部分の全部

容積率算定の場合の延べ面積での不算入の部分：（令2条3項）
・自動車車庫は、延べ面積1/5
・防災用備蓄倉庫は、延べ面積の1/50
・蓄電池設備の設置部分は、延べ面積の1/50
・自家発電設備の設置部分は、延べ面積の1/100
・貯水槽の設置部分は、延べ面積の1/100
・宅配ボックス設置部分は、延べ面積の1/100"
"・延べ面積と容積率対象延べ面積の違い
延べ面積：単純に床○○積を足し合わせたもの
容積率対象延べ面積：一部を容積対象○○に出来る（車庫など）","・延べ面積と容積率対象延べ面積の違い
延べ面積：単純に床面積を足し合わせたもの
容積率対象延べ面積：一部を容積対象外に出来る（車庫など）"
【004面積・高さ等の算定】,【004面積・高さ等の算定】
"地盤面の定義：令○○条○○項
・建築物が周○○面と接する位置の平均高さの水平面
・高低差が○○mを超える場合、○○m以内になるようにした水平面

平均地盤面の定義：法別表4
・敷地全体での水平面（※ちゃんと調べて書く）","地盤面の定義：令2条2項
・建築物が周囲の地面と接する位置の平均高さの水平面
・高低差が3mを超える場合、3m以内になるようにした水平面

平均地盤面の定義：法別表4
・敷地全体での水平面（※ちゃんと調べて書く）"
"道路斜線の建物高さ：法○○条○○項一号

高さ基準：前○○の路面の中心
高さ基準の緩和：地盤面が前面道路より○○m以上高い場合は、(高○○-○○m)÷○○を加えること出来る！：令135条の2
何処まで：面積1/○○以下の塔屋等は○○mまで高さを不算入","道路斜線の建物高さ：法56条1項一号

高さ基準：前面道路の路面の中心
高さ基準の緩和：地盤面が前面道路より1m以上高い場合は、(高低差-1m)÷2を加えること出来る！：令135条の2
何処まで：面積1/8以下の塔屋等は12mまで高さを不算入"
"隣地斜線の建物高さ：

高さ基準：地○○の高さ
高さ基準の緩和：地盤面が隣地地盤面より○○m以上低い場合は、(高○○-○○m)÷○○を加えること出来る！：令135条の1
何処まで：面積1/○○以下の塔屋等は○○mまで高さを不算入","隣地斜線の建物高さ：

高さ基準：地盤面の高さ
高さ基準の緩和：地盤面が隣地地盤面より1m以上低い場合は、(高低差-1m)÷2を加えること出来る！：令135条の1
何処まで：面積1/8以下の塔屋等は12mまで高さを不算入"
"北側斜線の建物高さ：

高さ基準：地○○高さ
高さ基準の緩和：地盤面が北側隣地地盤面より○○m以上低い場合は、(高○○-○○m)÷○○を加えること出来る！：令135条の4
何処まで：最○○まで（緩和○○）","北側斜線の建物高さ：

高さ基準：地盤面高さ
高さ基準の緩和：地盤面が北側隣地地盤面より1m以上低い場合は、(高低差-1m)÷2を加えること出来る！：令135条の4
何処まで：最頂部まで（緩和なし）"
"絶対高さ制限（1低○○、2低○○、田○○の建築物の高さ制限）：法55条1項、2項

高さ基準：地○○高さ
何処まで：面積1/○○以下の塔屋等は○○mまで高さを不算入","絶対高さ制限（1低○○、2低○○、田○○の建築物の高さ制限）：法55条1項、2項

高さ基準：地盤面高さ
何処まで：面積1/8以下の塔屋等は5mまで高さを不算入"
"日影規制の建築物の高さ：法56条の2

規制に掛かるか判定する高さ基準：地○○高さ
高さ基準の緩和：地盤面が隣地地盤面より○○m以上低い場合は、(高○○-○○m)÷○○を加えること出来る！：令135条の12
日影長さを算定する高さ基準：平○○
何処まで：面積1/○○以下の塔屋等は○○mまで高さを不算入","日影規制の建築物の高さ：法56条の2

規制に掛かるか判定する高さ基準：地盤面高さ
高さ基準の緩和：地盤面が隣地地盤面より1m以上低い場合は、(高低差-1m)÷2を加えること出来る！：令135条の12
日影長さを算定する高さ基準：平均地盤面
何処まで：面積1/8以下の塔屋等は5mまで高さを不算入"
"屋上部分が建築面積の1/8以内でも高さに算入して検討する事項
①避○○設備の必要性検討（高さが20m以上だと必要になる）
②北○○高さ制限の検討
③特例容積率適用区域、居住環境向上誘導地区などで、北○○高さ制限の検討
④高○○地区の高さ規定で、北側からの高さ制限の検討","屋上部分が建築面積の1/8以内でも高さに算入して検討する事項
①避雷設備の必要性検討（高さが20m以上だと必要になる）
②北側高さ制限の検討
③特例容積率適用区域、居住環境向上誘導地区などで、北側高さ制限の検討
④高度地区の高さ規定で、北側からの高さ制限の検討"
"軒の高さ：
原則として、地○○面から建築物の（道路高さ制限の場合：前○○の路面の中心からの高さ）
小○○または
これに代わる横架材を支持するか○○、
敷○○または、
は○○の上端までの高さ","軒の高さ：
原則として、地盤面から建築物の（道路高さ制限の場合：前面道路の路面の中心からの高さ）
小屋組または
これに代わる横架材を支持する壁、
敷桁または、
柱の上端までの高さ"
"階数に算入しない場合：令○○条○○項○○号
屋○○部分（昇○○塔など）で、水平投影面積が○○面積の1/○○以下のもの
地○○の倉○○、機○○室などで、水平投影面積が○○面積の1/○○以下のもの","階数に算入しない場合：令2条1項八号
屋上部分（昇降機塔など）で、水平投影面積が建築面積の1/8以下のもの
地階の倉庫、機械室などで、水平投影面積が建築面積の1/8以下のもの"
"吹抜がある場合の階数：
建築物の階数のうち最○○となるもの","吹抜がある場合の階数：
建築物の階数のうち最大となるもの"
【005手続①確認申請等】,【005手続①確認申請等】
"確認申請が必要なもの：法○○条1項
一号
種別：別表1(い)の特○○
規模：別表1(い)の用途○○m2超
工事種別：建○○、大規模の修○○、大規模の模○○、用○○
建築主事の審査期間：○○日以内","確認申請が必要なもの：法6条1項
一号
種別：別表1(い)の特殊建築物
規模：別表1(い)の用途200m2超
工事種別：建築、大規模の修繕、大規模の模様替え、用途変更
建築主事の審査期間：35日以内"
"確認申請が必要なもの：法6条1項

二号：
種別：一号以外
規模：階数○○以上、延べ面積○○m2超
工事種別：建○○、大規模の修○○、大規模の模○○
建築主事の審査期間：○○日以内","確認申請が必要なもの：法6条1項

二号：
種別：一号以外
規模：階数2以上、延べ面積200m2超
工事種別：建築、大規模の修繕、大規模の模様替え
建築主事の審査期間：35日以内"
"確認申請が必要なもの：法6条1項

三号：
種別：一号、二号以外の都○○区域、準○○区域、準○○地区、知○○区域内の建築物
規模：すべて
工事種別：建○○
建築主事の審査期間：○○日以内","確認申請が必要なもの：法6条1項

三号：
種別：都市計画区域、準都市計画区域、準景観地区、知事指定区域内の建築物
規模：すべて
工事種別：建築
建築主事の審査期間：7日以内"
