【001請負契約】,,【001請負契約】,
"・②総合施工計画書のポイント
工事敷地内の仮○○材や工○○械の配置、道路や近隣との取り合いを具体的に図面で示す。
設計図書に指定された仮設物がある場合は、その内容を記述し、監理者の承認を得る。（設計図書に記載なければ記載不要。）",,"・②総合施工計画書のポイント
工事敷地内の仮設資材や工事用機械の配置、道路や近隣との取り合いを具体的に図面で示す。
設計図書に指定された仮設物がある場合は、その内容を記述し、監理者の承認を得る。（設計図書に記載なければ記載不要。）",
"・③工種別の施工計画書のポイント
工○○表、品○○書、施○○書、その他必要事項を含む。
現場に合わして、具体的に計画、作成をする。
工事の内容、品質計画に係る部分は、○○者の承認を受ける。
品質管理計画は、○○者の承認を受ける。",,"・③工種別の施工計画書のポイント
工程表、品質管理計画書、施工要領書、その他必要事項を含む。
現場に合わして、具体的に計画、作成をする。
工事の内容、品質計画に係る部分は、監理者の承認を受ける。
品質管理計画は、監理者の承認を受ける。",
"・施工体制台帳のポイント
施工体制台帳を据え置く必要がある工事
　建築一式工事：○○万円以上
　その他の工事：○○万円以上
施工台帳の据え置き期限：○○者に引○○まで",,"・施工体制台帳のポイント
施工体制台帳を据え置く必要がある工事
　建築一式工事：8000万円以上
　その他の工事：5000万円以上
施工台帳の据え置き期限：発注者に引き渡すまで",
■工程計画,,■工程計画,
"・工程表の種類
基○○工程表：特定の部分や職種を限定して記載した工程表
実○○工程表（全体工程表）：工期全体の工程表
※これ内容確認！",,"・工程表の種類
基本工程表：特定の部分や職種を限定して記載した工程表
実施工程表（全体工程表）：工期全体の工程表",
"・工程表の書き方
一般的なのは、ネットワーク工程表。
トータルフロートが最○○のパスのことを、クリティカルパスという。",,"・工程表の書き方
一般的なのは、ネットワーク工程表。
トータルフロートが最小のパスのことを、クリティカルパスという。",
"・工期の短縮しやすい工事、しにくい工事
工期の余裕を充分に見込むべき工事
　土○○事・基○○事・仕○○事
工期短縮が図りやすい工事
　躯○○事
※躯体工事（鉄筋工事、型枠工事、コンクリート工事、鉄骨工事など）は、作業員を多く投入すれば、工期短縮を図りやすい工事。",,"・工期の短縮しやすい工事、しにくい工事
工期の余裕を充分に見込むべき工事
　土工事・基礎工事・仕上工事
工期短縮が図りやすい工事
　躯体工事
※躯体工事（鉄筋工事、型枠工事、コンクリート工事、鉄骨工事など）は、作業員を多く投入すれば、工期短縮を図りやすい工事。",
■品質計画,,■品質計画,
"・品質計画の記載内容
品質管理組織、管理項目と管理値、品質管理実施方法、品質評価方法と管理を外れた場合の処置",,"・品質計画の記載内容
品質管理組織、管理項目と管理値、品質管理実施方法、品質評価方法と管理を外れた場合の処置",
"・コンクリート工事
軽量コンクリートの輸送管の呼び寸法は、○○A以上
フレキシブルホースは直管に対し、圧送負荷を○○倍として計画
打設時、型枠内での、○○流は避ける
SRC梁は、フランジ下に巣（空洞）ができやすい。○○側から打ち込んで噴○○確認する。
コンクリート打込みで隠蔽となる部分は、監理者の承諾を受け、工事写真での記録を残して工事を進める計画とする",,"・コンクリート工事
軽量コンクリートの輸送管の呼び寸法は、125A以上
フレキシブルホースは直管に対し、圧送負荷を2倍として計画
打設時、型枠内での、横流は避ける
SRC梁は、フランジ下に巣（空洞）ができやすい。片側から打ち込んで噴出確認する。
コンクリート打込みで隠蔽となる部分は、監理者の承諾を受け、工事写真での記録を残して工事を進める計画とする",
■安全計画および環境への配慮,,■安全計画および環境への配慮,
"・山留工事
土圧管理の手法：切り梁の○○力を計測して管理
火打材を用いない場合の軸力計測場所：腹起しと切梁の接○○部に土○○計を設置
土圧計の設置個所：各段のX方向、Y方向に○○か所ずつ（単純な矩形の場合）",,"・山留工事
土圧管理の手法：切り梁の軸力を計測して管理
火打材を用いない場合の軸力計測場所：腹起しと切梁の接合部に土圧計を設置
土圧計の設置個所：各段のX方向、Y方向に1か所ずつ（単純な矩形の場合）",
"・仮設工事
乗り入れ構台のスロープ勾配：1/○○～1/○○程度
荷受構台の用途：クレーン、リフト、エレベーターから材料取り込み（※積載荷重に対して十分安全な構造にすれば材料置場も兼用可能）
※ここは問題集から色々ともっと書き加える必要あると思う！！",,"・仮設工事
乗り入れ構台のスロープ勾配：1/10～1/6程度
荷受構台の用途：クレーン、リフト、エレベーターから材料取り込み（※積載荷重に対して十分安全な構造にすれば材料置場も兼用可能）
※ここは問題集から色々ともっと書き加える必要あると思う！！",
【003現場管理】,,【003現場管理】,
■安全衛生管理,,■安全衛生管理,
"・単○○企業で常時○○人以上
安○○者、
衛○○者、
産○○医、
統○○者（※常時○○人以上の場合）
を選任",,"・単一企業で常時50人以上
安全管理者、
衛生管理者、
産業医
統括安全衛生管理者（※常時100人以上の場合）
を選任",
"・複○○企業で常時○○人以上
統○○者（特定元方事業者から。現場所長）
元○○者（特定元方事業者から。次席・副所長）
安○○者（下請事業者から。職長）",,"・複数企業で常時50人以上
統括安全衛生責任者（特定元方事業者から。現場所長）
元方安全衛生管理者（特定元方事業者から。次席・副所長）
安全衛生責任者（下請事業者から。職長）",
"・労働者が常時○○人以上の事業所
安○○会、及び、衛○○会
（または安○○会）
を設ける必要がある",,"・労働者が常時50人以上の事業所
安全員会、及び、衛生委員会
（または安全衛生委員会）
を設ける必要がある",
・作業主任者の種類（作業主任者=職長）,,・作業主任者の種類（作業主任者=職長）,
"作業主任者の「選任」が必要な作業
① 高さに関係なく選任が必要
　・土○○工作業主任者
　・型○○工の組立て等作業主任者
② 高さ○○m以上の場合に選任が必要
　・地○○削作業主任者
③ 高さ○○m以上の場合に選任が必要
　・足○○の組立て等作業主任者
　・建築物の鉄○○の組立て等作業主任者
　・木○○物の組立て作業主任者
　・コンクリート造の工作物の解○○等作業主任者
④ その他
　・石○○作業主任者（石○○(アスベスト)含有量○○％超の建材を扱う作業）
",,"作業主任者の「選任」が必要な作業
① 高さに関係なく選任が必要
　・土止め支保工作業主任者
　・型枠支保工の組立て等作業主任者
② 高さ2m以上の場合に選任が必要
　・地山の掘削作業主任者
③ 高さ5m以上の場合に選任が必要
　・足場の組立て等作業主任者
　・建築物の鉄骨の組立て等作業主任者
　・木造建築物の組立て作業主任者
　・コンクリート造の工作物の解体等作業主任者
④ その他
　・石綿作業主任者（石綿(アスベスト)含有量0.1％超の建材を扱う作業）",
"・作業主任者の「届出」が必要な作業
型枠支保工：高さ○○m以上で届出必要
足場：高さ○○m以上、かつ、○○日以上の設置で届出必要
※吊○○場は、高さに関わらず、必ず、選任+届出必要
※届出先は、労○○署長。届出期限は該当工事開始日の○○日前。",,"・作業主任者の「届出」が必要な作業
型枠支保工：高さ3.5m以上で届出必要
足場：高さ10m以上、かつ、60日以上の設置で届出必要
※吊り足場は、高さに関わらず、必ず、選任+届出必要
※届出先は、労働基準監督署長。届出期限は工事開始日の30日前。",
"■工事請負契約書・設計図書の優先順位
①見○○書（現場説明書、質問回答書含む）
②特○○書
③設○○図
④標○○書",,"■工事請負契約書・設計図書の優先順位
①見積要領書（現場説明書、質問回答書含む）
②特記仕様書
③設計図
④標準仕様書",
■建設業法上の規定,,■建設業法上の規定,
・主任技術者、監理技術者の設置が必要な場合,,・主任技術者、監理技術者の設置が必要な場合,
"すべての現場
元請：金額関係なく、○○者の設置必要（監理技術者の場合兼任OK）
下請：金額関係なく、○○者の設置必要",,"すべての現場
元請：金額関係なく、主任技術者の設置必要（監理技術者の場合兼任OK）
下請：金額関係なく、主任技術者の設置必要",
"「下請契約」の請負代金の額が○○万円以上（建築工事業の場合は○○万円以上）
元請：○○者の設置必要
下請：○○者の設置必要（すべての現場で必要なのと同じ）",,"「下請契約」の請負代金の額が5000万円以上（建築工事業の場合は8000万円以上）
元請：監理技術者の設置必要
下請：主任技術者の設置必要（すべての現場で必要なのと同じ）",
"「請負契約」の請負代金の額が○○万円以上（建築一式工事の場合は○○万円以上）
元請：専任の○○者の設置必要（技術者補を置いた場合は2か所まで兼任可能）
下請：専任の○○者の設置必要",,"「請負契約」の請負代金の額が4500万円以上（建築一式工事の場合は9000万円以上）
元請：専任の監理技術者の設置必要（技術者補を置いた場合は2か所まで兼任可能）
下請：専任の主任技術者の設置必要",
"特定専門工事で元請と下請に合意のあるもの（※これ意味が理解できてないので調べる）
元請：○○者の設置必要
下請：不要",,"特定専門工事で元請と下請に合意のあるもの（※これ意味が理解できてないので調べる）
元請：主任技術者の設置必要
下請：不要",
"・主任技術者と監理技術者の違い。
主任技術者は、資格（二級施工管理技士、二級建築士）or経験年数（大卒+実務3年）でもOK。
監理技術者は、資格（一級施工管理技士や一級建築士）or厳しめな経験年数を持ち、講習を受講し監理技術者証の交付を受けたもの。",,"・主任技術者と監理技術者の違い。
主任技術者は、資格（二級施工管理技士、二級建築士）or経験年数（大卒+実務3年）でもOK。
監理技術者は、資格（一級施工管理技士や一級建築士）or厳しめな経験年数を持ち、講習を受講し監理技術者証の交付を受けたもの。",
■■安全管理,,■■安全管理,
"・労働災害の傾向
死亡者数の割合：全産業中で、建設業が○○%で一番高い。
災害の型：墜落、転落が○○%で多い。（交通事故除く）",,"・労働災害の傾向
死亡者数の割合：全産業中で、建設業が30%で一番高い。
災害の型：墜落、転落が40%で多い。（交通事故除く）",
"・労働災害の用語
労働災害：労働者が業務中に、業務起因で受けた業務上の災害。（物的災害、公衆災害は含まない）
労働者：事業所に使用される者で、賃金を支払われる者。（一○○方は含まない）
休業日数：労働災害や負傷で労働できない日数（○○日であっても休業日数に入る）",,"・労働災害の用語
労働災害：労働者が業務中に、業務起因で受けた業務上の災害。（物的災害、公衆災害は含まない）
労働者：事業所に使用される者で、賃金を支払われる者。（一人親方は含まない）
休業日数：労働災害や負傷で労働できない日数（休日であっても休業日数に入る）",
"労働損失日数：
　死亡：○○日。
　永久一部労働不能：身体障害等級に応じて○○~○○日。（障害等級は労働基準監督署が認定する）
　一時労働不能：休業日数x○○/365",,"労働損失日数：
　死亡：7500日。
　永久一部労働不能：身体障害等級に応じて50~5500日。（障害等級は労働基準監督署が認定する）
　一時労働不能：休業日数x300/365",
重大災害：一時に○○名以上の労働者が死傷、罹病した災害。,,重大災害：一時に3名以上の労働者が死傷、罹病した災害。,
・各種指標,,・各種指標,
"度数率：
死○○数/延○○間x○○万
○○万延べ実労働時間当たりの労働災害による死傷者数。災害発生の頻度を示す。",,"度数率：
死傷者数/延べ実労働時間x100万
100万延べ実労働時間当たりの労働災害による死傷者数。災害発生の頻度を示す。",
"強度率：
延べ労働損失日数/延べ実労働時間x1000
災害の重さの程度を表したもの",,"強度率：
延べ労働損失日数/延べ実労働時間x1000
災害の重さの程度を表したもの",
"年千人率：
1年間の死○○数/1年間の平○○数x1000
1年間の労働者○○人あたりに発生した死傷者数の割合。",,"年千人率：
1年間の死傷者数/1年間の平均労働者数x1000
1年間の労働者1000人あたりに発生した死傷者数の割合。",
■公衆災害防止,,■公衆災害防止,
"・仮囲いのポイント
仮囲い高さ：○○m以上（必要がある場合は○○m以上）とする。
仮囲い下部の隙間：○○木などでふさぐ。",,"・仮囲いのポイント
仮囲い高さ：1.8m以上（必要がある場合は3m以上）とする。
仮囲い下部の隙間：巾木などでふさぐ。",
・ゲートのポイント：※書く,,・ゲートのポイント,
"・防護柵（朝顔）のポイント
設置場所：1段目○○~○○m、2段目○○m以下
設置方法：水平距離○○m以上。水平面との角度○○度以上。厚さ○○mmの鉄板。
設置数：工事場所が○○m以上の場合は○○段以上。○○m以上の場合は○○段以上。
道路（歩道含む）上空に設ける場合、道○○者および警○○長の許可を受ける。",,"・防護柵（朝顔）のポイント
設置場所：1段目4~5m、2段目10m以下
設置方法：水平距離2m以上。水平面との角度20度以上。厚さ1.6mmの鉄板。
設置数：工事場所が10m以上の場合は1段以上。20m以上の場合は2段以上。
道路（歩道含む）上空に設ける場合、道路管理者および警察署長の許可を受ける。",
"・歩道防護構台
雨水は構台上で処理し、水が歩行者に掛からないようにする。
歩行の安全のために照明を設ける
道○○者および警○○長の許可を受ける",,"・歩道防護構台
雨水は構台上で処理し、水が歩行者に掛からないようにする。
歩行の安全のために照明を設ける
道路管理者および警察署長の許可を受ける",
"・工事用メッシュシート
落下物の防護、塗装・粉塵の飛散防止等の目的で、足場等の外面に張る。
メッシュシートの種類（JIS）：防炎○○類、防炎○○類
すべてのはとめ（紐を通す小穴）について、間隔○○cm以下で、隙間やたるみなく足場などに緊結。",,"・工事用メッシュシート
落下物の防護、塗装・粉塵の飛散防止等の目的で、足場等の外面に張る。
メッシュシートの種類（JIS）：防炎1類、防炎2類
すべてのはとめ（紐を通す小穴）について、間隔45cm以下で、隙間やたるみなく足場などに緊結。",
"・工事用垂直ネット
網目寸法：JIS適合した、○○mm以上、○○mm以下のものを利用。",,"・工事用垂直ネット
網目寸法：JIS適合した、13mm以上、15mm以下のものを利用。",
"・防音パネル
足場の○○面に取りつけ。
防音パネルを取り付ける、足場の壁つなぎの取付間隔は、
垂直方向○○m以下、
水平方向○○m以下とする。
（風の影響が大きくなるため）",,"・防音パネル
足場の外面に取りつけ。
防音パネルを取り付ける、足場の壁つなぎの取付間隔は、
垂直方向3.6m以下、
水平方向3.7m以下とする。
（風の影響が大きくなるため）",
・歩行者の安全確保,,・歩行者の安全確保,
"歩行者の通行を制限する場合：
車道とは別に、幅○○m以上、有効高さ○○m以上の歩行者通路を確保する。
特に歩行者が多い箇所は：幅○○m以上とし、交○○員を配置等する。",,"歩行者の通行を制限する場合：
車道とは別に、幅0.9m以上、有効高さ2.1m以上の歩行者通路を確保する。
特に歩行者が多い箇所は：幅1.5m以上とし、交通誘導警備員を配置等する。",
"一般交通を制限する場合：
制限後1車線となる場合は車道幅員○○m以上。
2車線となる場合は車道幅員○○m以上としなければならない。
制限後1車線、往復の交互交通にする場合、その区間はできる限り短くし、交通渋滞しないよう、原則として交○○員を配置する。",,"一般交通を制限する場合：
制限後1車線となる場合は車道幅員3m以上。
2車線となる場合は車道幅員5.5m以上としなければならない。
制限後1車線、往復の交互交通にする場合、その区間はできる限り短くし、交通渋滞しないよう、原則として交通誘導警備員を配置する。",
・騒音、粉塵の防止,,・騒音、粉塵の防止,
・排水,,・排水,
■作業主任者,,■作業主任者,
"危険有害な作業で、特別の管理が必要な作業に選任が必要。
①土○○工：切梁、腹起。高さ○○、選任。
②型○○工の組立て等：解体。高さ○○、選任。
③地○○削作業：掘削面の高さ○○m以上。
④足○○の組立等：高さ○○m以上。
⑤建○○等の組立て等：高さ○○m以上。
⑥木○○物の組立て等：高さ○○m以上。
⑦コンクリート造の工作物の解○○等：高さ○○m以上。
⑧酸素欠乏危険：
⑨有機溶剤：有機溶剤を○○%を超えて含有するもの。
⑩石綿：石綿をその重量の○○%超えて含有するもの。
⑪はい作業：高さが○○m以上。（はい作業：荷の積上げ、積崩し）
⑫金属アーク溶接等：",,"危険有害な作業で、特別の管理が必要な作業に選任が必要。
①土止め支保工：切梁、腹起。高さ関係なく、選任。
②型枠支保工の組立て等：解体。高さ関係なく、選任。
③地山の掘削作業：掘削面の高さ2m以上。
④足場の組立等：高さ5m以上。
⑤建築物等の組立て等：高さ5m以上。
⑥木造建築物の組立て等：高さ5m以上。
⑦コンクリート造の工作物の解体等：高さ5m以上。
⑧酸素欠乏危険：
⑨有機溶剤：有機溶剤を5%を超えて含有するもの。
⑩石綿：石綿をその重量の0.1%超えて含有するもの。
⑪はい作業：高さが2m以上。（はい作業：荷の積上げ、積崩し）
⑫金属アーク溶接等：",
"・作業主任者の選任のポイント
作業の区分に応じて、免許を受けた者、技能講習修了者から選ぶ
同一作業場所で作業主任者を○○人以上を選任した時は、職務分担を定める必要がある。
関係労働者に、作業主任者の氏名、作業主任者に行わせる事項を、周知する必要がある。",,"・作業主任者の選任のポイント
作業の区分に応じて、免許を受けた者、技能講習修了者から選ぶ
同一作業場所で作業主任者を2人以上を選任した時は、職務分担を定める必要がある。
関係労働者に、作業主任者の氏名、作業主任者に行わせる事項を、周知する必要がある。",
■足場の安全管理,,■足場の安全管理,
"・足場の種類
本足場
　単○○足場
　枠○○足場
一○○足場
吊○○足場
機○○足場
その他
　ロ○○タワー
　脚○○足場",,"・足場の種類
本足場
　単管足場
　枠組足場
一側足場
吊り足場
機械足場
その他
　ローリングタワー
　脚立足場",
"・枠組足場のポイント
建枠の間隔（主枠間の間隔）：けた行方向に○○m以下。
建枠の最下端：ジ○○金具
壁つなぎの間隔：
通常：水平方向○○m以下、垂直方向○○m以下
防音パネル取付時：水平方向○○m以下、垂直方向○○m以下
枠組足場の高さ制限：○○m（単管足場は○○mか○○m）
「交差筋交い+高さ○○cm~○○cmに中桟or高さ○○cm以上の幅木」。または、「手すり枠」。",,"・枠組足場のポイント
建枠の間隔（主枠間の間隔）：けた行方向に1.85m以下。
建枠の最下端：ジャッキ形ベース金具
壁つなぎの間隔：
通常：水平方向8m以下、垂直方向9m以下
防音パネル取付時：水平方向3.7m以下、垂直方向3.6m以下
枠組足場の高さ制限：45m（単管足場は31mか22m）
「交差筋交い+高さ15cm~40cmに中桟or高さ15cm以上の幅木」。または、「手すり枠」。",
"・単管足場のポイント
建地の間隔：桁行方向○○m以下。はり間方向○○m以下。
建地の最下端：べ○○金具。根○○設ける。
地上第一の布：地上より○○m以下。
壁つなぎ間隔：水平方向○○m以下、垂直方向○○m以下。
建地間の積載荷重：○○㎏以下とする。",,"・単管足場のポイント
建地の間隔：桁行方向1.85m以下。はり間方向1.5m以下。
建地の最下端：ベース金具。根がらみ設ける。
地上第一の布：地上より2m以下。
壁つなぎ間隔：水平方向5.5m以下、垂直方向5m以下。
建地間の積載荷重：400㎏以下とする。",
"・吊り足場のポイント
作業床は幅○○cm以上とし、かつ、隙間がないようにする。
吊り材の安全係数：
　吊り足場の吊りワイヤーロープ：安全係数○○以上
　吊り足場の吊り鎖：安全係数○○以上
※クレーン等の玉掛け用ワイヤーロープ：安全係数○○以上。
※杭打機等の巻き上げようワイヤーロープ：安全係数○○以上。",,"・吊り足場のポイント
作業床は幅40cm以上とし、かつ、隙間がないようにする。
吊り材の安全係数：
　吊り足場の吊りワイヤーロープ：安全係数10以上
　吊り足場の吊り鎖：安全係数5以上
※クレーン等の玉掛け用ワイヤーロープ：安全係数6以上。
※杭打機等の巻き上げようワイヤーロープ：安全係数6以上。",
"・ローリングタワーのポイント
作業床の周囲は高さ○○cm以上の手すり。高さ○○cm～○○cmに中残。高さ○○cm以上の巾木。
作業員を載せたまま移動禁止。
移動時以外は、車輪にロ○○を掛ける。",,"・ローリングタワーのポイント
作業床の周囲は高さ90cm以上の手すり。高さ35cm～50cmに中残。高さ10cm以上の巾木。
作業員を載せたまま移動禁止。
移動時以外は、車輪にロックを掛ける。",
"・脚立足場（うま足場）のポイント
○○点で支持。
足場板高さ：○○m未満
支持点からの突き出し長さ：○○～○○cm。",,"・脚立足場（うま足場）のポイント
3点で支持。
足場板高さ：2m未満
支持点からの突き出し長さ：10～20cm。",
"・足場共通のポイント
作業床：幅○○cm以上、
床材間の隙間○○cm以下、
床材と建地との隙間○○cm未満。（※吊り足場の場合、隙間無し）",,"・足場共通のポイント
作業床：幅40cm以上、
床材間の隙間3cm以下、
床材と建地との隙間12cm未満。（※吊り足場の場合、隙間無し）",
"・通路の手すり、床等のポイント
鉄骨上通路：
　手すり高さ○○cm以上。
　中桟必要
　幅木（高さ○○cm以上）が必要。
　幅○○cm以上（手すりの内側の有効幅で。）
切梁上通路：
　手すり高さ○○cm以上。
　中桟必要
　幅木（高さ○○cm以上）が必要。
　隙間○○cm以下。",,"・通路の手すり、床等のポイント
鉄骨上通路：
　手すり高さ95cm以上。
　中桟必要
　幅木（高さ10cm以上）が必要。
　幅60cm以上（手すりの内側の有効幅で。）
切梁上通路：
　手すり高さ95cm以上。
　中桟必要
　幅木（高さ10cm以上）が必要。
　隙間3cm以下。",
■事業者の責務（労働安全衛生規則）,,■事業者の責務（労働安全衛生規則）,
"・教育の種類
雇い入れ時等教育
特別教育：※他にも書く
技能教習：機体重量○○t以上の運転業務。※ほかにも書く。",,"・教育の種類
雇い入れ時等教育
特別教育：※他にも書く
技能教習：機体重量3t以上の運転業務。※ほかにも書く。",
・墜落防止、落下防止,,・墜落防止、落下防止,
"・立入禁止
軒の高さが○○m以上の木造建築物の構造部材の組立、外壁下地の取付けの作業範囲
高さ○○m以上の足場の組立・解体の作業範囲
高さ○○m以上の鉄骨の組立の作業範囲
高さ○○m以上のコンクリート造の解体の作業範囲
作業構台の組立・解体の作業範囲
型枠支保工の組立・解体の作業範囲
クレーンの吊り荷の下",,"・立入禁止
軒の高さが5m以上の木造建築物の構造部材の組立、外壁下地の取付けの作業範囲
高さ2m以上の足場の組立・解体の作業範囲
高さ5m以上の鉄骨の組立の作業範囲
高さ5m以上のコンクリート造の解体の作業範囲
作業構台の組立・解体の作業範囲
型枠支保工の組立・解体の作業範囲
クレーンの吊り荷の下",
・点検,,・点検,
・悪天候、異常時対応,,・悪天候、異常時対応,
"悪天候の定義
強風：10分間平均風速○○m/s以上
大雨：1回の降雨量が○○mm以上
大雪：1回の積雪量が○○cm以上
暴風：瞬間風速が○○m/s以上
中震：震度○○以上",,"悪天候の定義
強風：10分間平均風速10m/s以上
大雨：1回の降雨量が50mm以上
大雪：1回の積雪量が25cm以上
暴風：瞬間風速が30m/s以上
中震：震度4以上",
"・悪天候、異常時対応のポイント
高さが○○m以上の箇所での作業：強風、大雨、大雪などの悪天候が予想される時、作業NG
足場での作業前に点○○が必要な時：悪天候、中震後に足場の点○○必要。
移動式クレーン：強風で危険な場合は、作業中止。ジブの位置を固定させるなどのクレーン転○○置をとる。",,"・悪天候、異常時対応のポイント
高さが2m以上の箇所での作業：強風、大雨、大雪などの悪天候が予想される時、作業NG
足場での作業前に点検が必要な時：悪天候、中震後に足場の点検必要。
移動式クレーン：強風で危険な場合は、作業中止。ジブの位置を固定させるなどのクレーン転倒防止措置をとる。",
・その他事業者の責務。,,・その他事業者の責務。,
・特定元方事業者の責務,,・特定元方事業者の責務,
■事業者の責務（建設機械、クレーン）,,■事業者の責務（建設機械、クレーン）,
■事業者の責務（酸欠・有機溶剤）,,■事業者の責務（酸欠・有機溶剤）,
